"WEAPON","DMG","IMPACT","IMPACTp","PUNC","PUNCp","SLASH","SLASHp","HEAT","HEATp","COLD","COLDp","ELEC","ELECp","TOXIN","TOXINp","BLAST","BLASTp","RAD","RADp","GAS","GASp","MAG","MAGp","VIRAL","VIRALp","CORR","CORRp","VOID","VOIDp","CRITCHAN","CRITMULT","STATCHAN","FIRERATE","MULTI"
"Ninkondi","190","90","","0","","0","","0","","0","","100","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.35000002","1",
"Magistar","209.99998","168","","31.500002","","10.49999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","0.83333337",
"Skana Prime","210","31.500002","","31.500002","","147","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.5999999","0.25999999","1",
"Skana","120","18","","18","","84","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.15999997","0.83333337",
"Ether Sword","192","28.800001","","28.800001","","134.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.34000003","1",
"Hespar","280","112","","33.599998","","134.40001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.27999997","1",
"Wolf Sledge","259","132.09","","7.77","","119.14001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.17","1.9","0.33000004","1",
"Fragor","200","140","","30.000002","","29.999996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","0.83333337",
"Sibear","270","70","","20","","50","","0","","130","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.30000001","1",
"Volnus","220.00002","48.400002","","70.400002","","101.20001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","1.6","0.30000001","1.2",
"Sampotes","247.99998","173.59999","","37.200001","","37.199993","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","3","0.27999997","0.83333337",
"Redeemer","180","18","","36","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.8","0.22000003","0.83333337",
"Redeemer Prime","212","21.200001","","42.400002","","148.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.30000001","0.91666669",
"Sarpa","160","16","","32","","112","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2","0.27999997","1",
"Gram","160","24","","24","","112","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.14999998","0.95000005",
"Orvius","195","39","","9.75","","146.25","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.18000001","0.75000006",
"Glaive Prime","164","24.6","","24.6","","114.8","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.30000001","1.2500001",
"Glaive","105","15.750001","","15.750001","","73.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2","0.12","1",
"Kestrel","84","58.799999","","12.6","","12.599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.10000002","1.0833334",
"Ankyros","90","63","","13.500001","","13.499998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","1.1666667",
"Ankyros Prime","128","89.599998","","19.200001","","19.199997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.4000001","0.15999997","1.2500001",
"Tekko","160","32","","16","","112","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.10000002","0.91666669",
"Furax Wraith","138.99998","97.299995","","20.85","","20.849997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.7","0.14999998","1.0833334",
"Furax","135","94.5","","20.25","","20.249996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2.3","0.11000001","1",
"Dual Skana","120","18","","18","","84","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.15999997","0.83333337",
"Dual Heat Swords","147","22.050001","","22.050001","","102.9","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.19999999","0.91666669",
"Dual Ether","180","27.000002","","27.000002","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.27999997","1",
"Kama","90","13.500001","","13.500001","","63","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","1.8","0.10000002","1.1666667",
"Dual Kamas","96.000008","4.8000002","","9.6000004","","81.600006","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.14999998","1.1666667",
"Fang Prime","178","26.700001","","124.6","","26.699995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.5999999","0.25999999","1",
"Ether Daggers","224","33.600002","","33.600002","","156.8","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.8","0.30000001","0.83333337",
"Fang","108","16.200001","","75.599998","","16.199997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.079999998","1.5","0.15999997","0.91666669",
"Dark Dagger","154","0","","57.999996","","36","","0","","0","","0","","0","","0","","60","","0","","0","","0","","0","","0","","0.079999998","1.5","0.22000003","0.91666669",
"Heat Dagger","208","14.000001","","76","","56.000004","","62","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","1.6","0.13999999","0.75000006",
"Ceramic Dagger","140","14","","126","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.5","0.19999999","1",
"Dakra Prime","170","17","","17","","136","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.36000001","2.4000001","0.18000001","1",
"Cronus","106","31.800001","","15.900001","","58.299995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","1.5","0.18000001","0.91666669",
"Venka","140","7","","35","","98","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.14999998","1",
"Kogake","120","84","","18","","17.999996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","0.91666669",
"Sarofang","200","80","","8","","112","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.19999999","1.1666667",
"Dual Ichor","122","19","","11","","45","","0","","0","","0","","47","","0","","0","","0","","0","","0","","0","","0","","0.25","3","0.14999998","1.0833334",
"Dual Zoren","70","3.5","","3.5","","63","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","3","0.050000012","1.1666667",
"Scindo","200","20","","20","","160","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.5","0.10000002","0.91666669",
"Scindo Prime","250","25","","25","","200","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.24000001","0.9666667",
"Latron Wraith","62","15.5","","43.399998","","3.1000009","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.8","0.13999999","5.0000005","1"
"Attica","80","4","","60","","15.999999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","3","0.10000002","3.6666667","1"
"Steflos","320","130","","0","","0","","190","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2.2","0.22000003","3.0000002","1"
"Sybaris","80","26.400002","","26.400002","","27.199997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.10000002","3.9840639","1"
"Fulmin","500","100","","0","","0","","0","","0","","400","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.15999997","2.1666667","1"
"Baza","16","5.7600002","","6.7199998","","3.5200005","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","3","0.10000002","16.666668","1"
"Aeolak","60","15","","23","","17","","0","","0","","0","","0","","0","","5","","0","","0","","0","","0","","0","","0.20999999","2.3","0.33000004","6.0000005","1"
"Veldt","90","23.4","","23.4","","43.200001","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2.2","0.22000003","3.6666667","1"
"Quellor","58","8","","22","","12","","0","","16","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","1.6","0.38","6.0000005","1"
"Perigale","172","20.639999","","96.32","","55.039997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.5999999","0.15999997","6.0606065","1"
"Scourge","125","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","125","","0","","0.02","1.5","0.30000001","2.6666667","1"
"Afentis","100","20","","60.000004","","19.999998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.2","0.24000001","0.83333337","1"
"Corinth","90","25.200001","","37.799999","","27.000002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.8","0.060000002","1.1666667","6"
"Astilla","190","70","","42","","78","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.17","1.9","0.33000004","4.3333335","1"
"Tenora","24","7.2000003","","9.6000004","","7.1999989","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2","0.15999997","11.666667","1"
"Cedo","30","0","","30","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2.4000001","0.0033333302","3.8333335","6"
"Stradavar","28","9.8000002","","9.8000002","","8.4000006","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2","0.12","10.000001","1"
"Acceltra","70","26","","35.200001","","8.7999992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31999999","2.8","0.060000002","12.000001","1"
"Rubico Prime","187","149.60001","","28.050001","","9.3499908","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.38","3","0.15999997","3.6666667","1"
"Phantasma","15","5","","0","","0","","0","","0","","0","","0","","0","","10","","0","","0","","0","","0","","0","","0.029999999","1.5","0.222","12.000001","6"
"Zhuge","100","5","","75","","19.999998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.35000002","4.166667","1"
"Zhuge Prime","50","10","","22.5","","17.500002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2","0.30000001","5.5000005","1"
"Vectis Prime","350","140","","157.5","","52.499992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.30000001","2.6666667","1"
"Tigris Prime","195","19.5","","19.5","","156","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.11250001","2","8"
"Tiberon Prime","48","14.400001","","19.200001","","14.399998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","3","0.19999999","6.818182","1"
"Tenora Prime","28","8.4000006","","11.2","","8.3999987","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.24000001","12.666667","1"
"Sybaris Prime","88","29.040001","","29.040001","","29.919998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.25","4.7169814","1"
"Strun Prime","54","24.299999","","8.1000004","","21.599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.2","0.066666663","3.3333335","12"
"Stradavar Prime","30","10.5","","10.5","","9","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2.5999999","0.12","10.000001","1"
"Soma Prime","12","1.2","","4.8000002","","6","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","3","0.10000002","15.000001","1"
"Scourge Prime","140","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","140","","0","","0.1","2","0.30000001","2.6666667","1"
"Phantasma Prime","15","5","","0","","0","","0","","0","","0","","0","","0","","10","","0","","0","","0","","0","","0","","0.11","1.9","0.222","12.000001","6"
"Panthera Prime","120","20","","10","","90","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","2","0.30000001","3.6666667","1"
"Nagantaka Prime","173","1.73","","15.570001","","155.7","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2.3","0.38999999","2.5000002","1"
"Fulmin Prime","550","110","","0","","0","","0","","0","","440","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.22000003","2.1666667","1"
"Corinth Prime","90","25.200001","","37.799999","","27.000002","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.8","0.090000033","1.4166667","6"
"Burston Prime","46","13.8","","13.8","","18.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.18000001","1.8","0.30000001","9.375","1"
"Boltor Prime","45.999996","4.5999999","","41.399998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2","0.34000003","10.000001","1"
"Baza Prime","16","5.7600002","","6.7199998","","3.5200005","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","3","0.13999999","16.666668","1"
"Astilla Prime","240","100","","49","","91","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.20999999","1.9","0.37","4.3333335","1"
"Acceltra Prime","97","44","","42.400002","","10.599999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34","3","0.18000001","10.000001","1"
"Rauta","130","26","","26","","78","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.12","0.80000007","8"
"Panthera","100","20","","10","","70","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.12","2","0.24000001","3.0000002","1"
"Zenith","30","4.5","","6","","19.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.34000003","10.833334","1"
"Alternox","62","0","","0","","0","","0","","0","","62","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2.2","0.30000001","4.3333335","1"
"Nagantaka","158.99998","1.5899999","","14.31","","143.09999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2.3","0.38999999","2.5000002","1"
"Rubico","179.99998","144","","27.000002","","8.9999914","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","3","0.12","2.6666667","1"
"Tiberon","44","11","","22","","11","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.15999997","9.09091","1"
"Tigris","210","21","","21","","168","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.16799998","2","5"
"Dex Sybaris","75","22.5","","18.75","","33.75","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34999999","2","0.10000002","4.166667","1"
"Dread","336","16.800001","","16.800001","","302.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.5","2","0.19999999","1","1"
"Paris Prime","360","9","","288","","63.000004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.44999999","2","0.19999999","1","1"
"Paris","320","16","","256","","47.999992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.10000002","1","1"
"Evensong","650","0","","195","","455","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2.2","0.38","1","1"
"Proboscis Cernos","279","103.23","","30.690001","","145.08","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.07","1.9","0.43000001","1","1"
"Cernos Prime","183.99998","165.59999","","9.1999998","","9.2000027","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34999999","2","0.30000001","1","3"
"Nataruk","900","0","","648","","251.99997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.8","0.5","0.66666669","1"
"Cinta","800","0","","640","","159.99998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.31999999","0.66666669","1"
"Daikyu","700","210.00002","","280","","209.99997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34","2","0.46000004","1","1"
"Cernos","380","342","","19","","19.000004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.36000001","2","0.18000001","1","1"
"Larkspur","90","10","","0","","0","","0","","0","","0","","0","","0","","80","","0","","0","","0","","0","","0","","0.1","1.4","0.5","12.000001","1"
"Mandonel","90","25.000002","","15","","10","","0","","0","","0","","0","","0","","40","","0","","0","","0","","0","","0","","0.25","2","0.14999998","3.0000002","8"
"Morgha","196","32","","0","","0","","0","","0","","0","","0","","164","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.27999997","6.0000005","1"
"Mausolon","120","24","","46","","0","","50","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.25999999","8.333334","1"
"Cortege","90","0","","0","","0","","90","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.9","0.39999998","12.000001","1"
"Fluctus","250","50","","25","","175","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.15999997","5.0000005","1"
"Grattler","535","22.5","","180","","22.499992","","0","","0","","0","","0","","310","","0","","0","","0","","0","","0","","0","","0.25","2","0.25","6.2500005","1"
"Velocitus","1600","400","","400","","400","","0","","0","","0","","0","","0","","0","","0","","400","","0","","0","","0","","0.30000001","2","0.25","5.0000005","1"
"Larkspur Prime","90","10","","0","","0","","0","","0","","0","","0","","0","","80","","0","","0","","0","","0","","0","","0.14","1.6","0.5","12.000001","1"
"Corvas Prime","960","430","","0","","0","","530","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.44","3","0.30000001","2","1"
"Corvas","880","400","","0","","0","","480","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.40000001","2.5999999","0.13","2","1"
"Imperator Vandal","50","20","","17.5","","12.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.4000001","0.12","25.000002","1"
"Imperator","50","20","","17.5","","12.5","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2","0.12","16.666668","1"
"Dual Decurion","110","49.5","","30.25","","30.249998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.2","0.13999999","10.416667","1"
"Prisma Dual Decurions","110","49.5","","30.25","","30.249998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.2","0.24000001","12.500001","1"
"Phaedra","56","14","","36.399998","","5.6000013","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","2","0.30000001","18.750002","1"
"Cyngas","120","39.600002","","39.600002","","40.799995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2.2","0.30000001","9.09091","1"
"<ARCHWING> Prisma Veritux","394","59.100002","","59.100002","","275.79999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.19999999","1",
"<ARCHWING> Knux","445","400.5","","22.25","","22.250006","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.13","2","0.30000001","1",
"Corufell","200","96","","68","","36","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.13999999","1",
"<ARCHWING> Centaur","376","37.600002","","75.200005","","263.19998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.19999999","1.0833334",
"<ARCHWING> Veritux","470","70.5","","70.5","","329","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.10000002","0.83333337",
"<ARCHWING> Onorix","412","123.60001","","82.400002","","206","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.25","0.050000012","1",
"<ARCHWING> Agkuza","435.99997","65.400002","","305.19998","","65.399986","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.14999998","1",
"<ARCHWING> Kaszas","392","19.6","","313.60001","","58.799992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.19999999","1",
"<ARCHWING> Rathbone","449.99997","360","","67.5","","22.499979","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.12","0.91666669",
"Akbronco Prime","50","40","","5","","4.9999981","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.12857145","4.3333335","7"
"Akvasto","90","22.5","","22.5","","45","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","1.8","0.12","3.3333335","1"
"Akmagnus Prime","98","44.099998","","26.950001","","26.949997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.28","2.8","0.27999997","5.666667","1"
"Akmagnus","98","44.099998","","26.950001","","26.949997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.22","2","0.22000003","5.0000005","1"
"Twin Vipers","17","10.200001","","1.7","","5.0999994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.5","0.11000001","25.000002","1"
"Akbronco","42","33.600002","","4.2000003","","4.1999984","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.059999999","2","0.031428576","5.0000005","7"
"Aklato","40","6","","10","","24","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","1.8","0.060000002","5.0000005","1"
"Akbolto","64","6.4000001","","57.599998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2.4000001","0.022000015","4.5","1"
"Afuris","20","3","","14","","2.9999995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.12","12.500001","1"
"Aklex Prime","150","15","","120","","14.999994","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.25","2.6666667","1"
"Aklex","130","13","","104","","12.999995","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","1.5833334","1"
"Vaykor Marelok","160","96","","16","","47.999992","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","1.5","0.35000002","2","1"
"Vaykor Sydon","212.99998","10.650001","","202.34999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.20999999","2.5","0.33000004","1.0833334",
"Vaykor Hek","75","11.25","","48.75","","15.000004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2","0.10714287","3.0000002","7"
"Rakta Ballistica","300","15","","270","","15.000004","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","1.5","0.10000002","3.3333335","1"
"Rakta Dark Dagger","246","0","","88","","62","","0","","0","","0","","0","","0","","96","","0","","0","","0","","0","","0","","0.12","1.8","0.30000001","1",
"Rakta Cernos","470","423","","23.5","","23.500006","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.34999999","2","0.14999998","1","1"
"Secura Dual Cestra","28","5.5999999","","22.4","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","1.6","0.27999997","12.500001","1"
"Secura Lecta","176","0","","30","","66","","0","","0","","80","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.5","0.30000001","1.2500001",
"Secura Penta","375","75","","0","","0","","0","","0","","0","","0","","300","","0","","0","","0","","0","","0","","0","","0.25999999","2","0.25999999","2","1"
"Sancti Castanas","300","0","","0","","0","","0","","0","","300","","0","","0","","0","","0","","0","","0","","0","","0","","0.23999999","2","0.34000003","3.3333335","1"
"Sancti Magistar","239.99998","192","","36","","11.999989","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.19999999","1",
"Sancti Tigris","210","21","","21","","168","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","1.5","0.13999999","2","6"
"Synoid Gammacor","21","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","21","","0","","0","","0","","0.2","2","0.27999997","12.000001","1"
"Gammacor","16","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","16","","0","","0","","0","","0.079999998","1.8","0.19999999","12.000001","1"
"Synoid Heliocor","280","238","","28","","13.999987","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.16","2","0.39999998","1.0833334",
"Synoid Simulor","240","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","240","","0","","0","","0","","0.14","2","0.35000002","3.3333335","1"
"Telos Akbolto","70","7","","63","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.13","2","0.28999996","5.0000005","1"
"Telos Boltace","209.99998","21","","178.5","","10.49999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.35000002","1.0833334",
"Telos Boltor","30","3","","27","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2.4000001","0.15999997","9.333334","1"
"Shedu","158","0","","0","","0","","71","","0","","87","","0","","0","","0","","0","","0","","0","","0","","0","","0.25","2.0999999","0.23000002","2.5000002","1"
"Basmu","58","0","","0","","0","","19","","0","","39","","0","","0","","0","","0","","0","","0","","0","","0","","0.15000001","2","0.28999996","12.000001","1"
"Venato","220","33","","110","","77.000008","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.27000001","2.0999999","0.24000001","1.0833334",
"Paracesis","222","48.84","","17.76","","155.39999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.31","2.5999999","0.22000003","0.91666669",
"Sirocco","2000","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","2000","","0.40000001","2","0.19999999","3.0000002","1"
"Rumblejack","300","120","","0","","0","","0","","0","","180","","0","","0","","0","","0","","0","","0","","0","","0","","0.14","1.8","0.39999998","0.66666669",
"MK1-Strun","18","9.9000006","","2.7","","5.3999991","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.075000003","2","0.060000002","2.0833335","10"
"MK1-Paris","230","11.5","","184","","34.499996","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.30000001","2","0.14999998","1","1"
"MK1-Kunai","40","4","","30","","5.999999","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.024999976","3.3333335","1"
"MK1-Furis","12.999999","1.95","","9.0999994","","1.9499997","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.0099999905","8.333334","1"
"MK1-Furax","90","63","","13.500001","","13.499998","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.2","2","0.10000002","1",
"MK1-Bo","90","81","","9","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.1","2","0.10000002","1",
"AX-52","40","0","","40","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.25999999","2.4000001","0.18000001","10.000001","1"
"Embolist","35","0","","0","","0","","0","","0","","0","","35","","0","","0","","0","","0","","0","","0","","0","","0.029999999","1.5","0.40999997","8","1"
"Tysis","76","9","","23","","17","","0","","0","","0","","0","","0","","0","","0","","0","","0","","27","","0","","0.029999999","1.5","0.5","2.5000002","1"
"Dual Toxocyst","75","7.5","","60","","7.4999971","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2","0.37","1","1"
"Zymos","84","9.1999998","","13.8","","0","","0","","0","","0","","61","","0","","0","","0","","0","","0","","0","","0","","0.050000001","2.3","0.30000001","1.3333334","1"
